,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Date
0,Saint Anthony,45.0205,-93.218,26.01,68,90,9.22,US,1611994745
1,Rikitea,-23.1203,-134.9692,79.38,75,7,11.23,PF,1611994745
2,Bangui,4.3612,18.555,75.2,83,20,5.75,CF,1611994745
3,Chicama,-7.8447,-79.1469,72.21,69,98,4.65,PE,1611994642
4,Punta Arenas,-53.15,-70.9167,44.6,76,40,5.75,CL,1611994745
5,Matamoros,25.5333,-103.25,60.01,52,0,3.67,MX,1611994745
6,Mar del Plata,-38.0023,-57.5575,66.0,82,62,9.22,AR,1611994500
7,Istanbul,41.0351,28.9833,46.4,87,75,13.8,TR,1611994714
8,Koslan,63.4564,48.8989,22.66,97,100,9.6,RU,1611994746
9,Ushuaia,-54.8,-68.3,39.2,81,40,10.36,AR,1611994746
10,Yarmouth,41.7057,-70.2286,21.2,73,90,10.36,US,1611994746
11,Dwārka,22.2394,68.9678,74.86,29,0,10.02,IN,1611994746
12,Hobart,-42.8794,147.3294,70.0,59,40,21.85,AU,1611994585
13,Kaitangata,-46.2817,169.8464,55.99,78,5,8.01,NZ,1611994747
14,Lagoa,39.05,-27.9833,61.48,93,53,17.45,PT,1611994747
15,San Ramon,37.7799,-121.978,44.6,87,20,3.44,US,1611994466
16,Puerto Ayora,-0.7393,-90.3518,77.0,91,24,5.99,EC,1611994747
17,Kapaa,22.0752,-159.319,73.4,78,75,19.57,US,1611994747
18,Devils Lake,48.1128,-98.8651,21.2,93,90,12.66,US,1611994545
19,Port Alfred,-33.5906,26.891,73.99,68,66,4.0,ZA,1611994573
20,Norman Wells,65.282,-126.8329,-27.4,75,75,3.62,CA,1611994748
21,Zhigansk,66.7697,123.3711,-41.78,79,100,4.85,RU,1611994748
22,Avarua,-21.2078,-159.775,78.8,89,99,2.3,CK,1611994748
23,Mayo,38.8876,-76.5119,28.99,46,90,5.75,US,1611994748
24,Palana,59.1167,159.9667,-2.9,92,92,14.41,RU,1611994749
25,Marawi,7.9986,124.2928,82.0,78,100,13.0,PH,1611994749
26,Bandarbeyla,9.4942,50.8122,77.11,63,17,13.49,SO,1611994579
27,Manicoré,-5.8092,-61.3003,71.89,98,80,1.43,BR,1611994749
28,Esperance,-33.8667,121.9,75.2,43,0,24.16,AU,1611994749
29,Viedma,-40.8135,-62.9967,54.25,60,90,4.23,AR,1611994749
30,Deniliquin,-35.5333,144.9667,81.0,41,0,11.56,AU,1611994750
31,Cidreira,-30.1811,-50.2056,73.8,89,34,7.47,BR,1611994750
32,Nikolskoye,59.7035,30.7861,30.2,93,75,8.95,RU,1611994750
33,Half Moon Bay,37.4636,-122.4286,48.0,93,1,5.46,US,1611994564
34,Vaini,-21.2,-175.2,77.0,94,90,10.36,TO,1611994751
35,Codrington,-38.2667,141.9667,60.53,77,100,9.51,AU,1611994751
36,Mahébourg,-20.4081,57.7,87.8,66,75,11.5,MU,1611994576
37,Aloleng,16.1307,119.7824,82.45,57,52,7.78,PH,1611994751
